1,0.000079
2,0.000242
3,0.000347
4,0.000467
5,0.000574
6,0.000706
7,0.000807
8,0.000946
9,0.001044
10,0.001212
11,0.001321
12,0.001463
13,0.001606
14,0.001744
15,0.001840
16,0.001965
17,0.002057
18,0.002217
19,0.002320
20,0.002447
21,0.002586
22,0.002684
23,0.002804
24,0.002962
25,0.003079
26,0.003221
27,0.003378
28,0.003498
29,0.003564
30,0.003731
31,0.003839
32,0.003978
33,0.004037
34,0.004178
35,0.004268
36,0.004444
37,0.004552
38,0.004676
39,0.004844
40,0.004973
41,0.005076
42,0.005211
43,0.005301
44,0.005407
45,0.005587
46,0.005745
47,0.005827
48,0.005972
49,0.006054
50,0.006169
