1,0.000078
2,0.000249
3,0.000434
4,0.000668
5,0.000963
6,0.001336
7,0.001793
8,0.002219
9,0.002796
10,0.003360
11,0.004026
12,0.004698
13,0.005514
14,0.006268
15,0.007129
16,0.008034
17,0.008997
18,0.010000
19,0.011034
20,0.012156
21,0.013422
22,0.014620
23,0.015766
24,0.017156
25,0.018544
26,0.019886
27,0.021355
28,0.022886
29,0.024539
30,0.026055
31,0.027676
32,0.029500
33,0.031161
34,0.033085
35,0.034878
36,0.036775
37,0.038823
38,0.040739
39,0.042886
40,0.045119
41,0.047276
42,0.049415
43,0.051664
44,0.054204
45,0.056724
46,0.059041
47,0.061452
48,0.064018
49,0.066855
50,0.069427
